"","accident_severity","first_road_class_A","first_road_class_B","first_road_class_C","first_road_class_Unclassified","road_type_one_way","road_type_dual_c","road_type_single_c","speed_limit_20","speed_limit_30","junction_detail_not_at","junction_detail_t_junction","junction_detail_crossroads","junction_detail_other","pedestrian_crossing_human_control_none","pedestrian_crossing_physical_facilities_none","pedestrian_crossing_physical_facilities_pelican_puffin","pedestrian_crossing_physical_facilities_pedestrian_phase","light_conditions_daylight","light_conditions_dark_lit","weather_conditions_fine_no_wind","weather_conditions_rain_no_wind","road_surface_conditions_dry","road_surface_conditions_wet","vehicle_type_veh1_cycle","vehicle_type_veh1_taxi","vehicle_type_veh1_car","vehicle_type_veh1_bus","vehicle_manoeuvre_veh1_reversing","vehicle_manoeuvre_veh1_slowing_stopping","vehicle_manoeuvre_veh1_moving_off","vehicle_manoeuvre_veh1_turning_left","vehicle_manoeuvre_veh1_turning_right","vehicle_manoeuvre_veh1_going_ahead_other","vehicle_location_restricted_lane_veh1_","junction_location_veh1_not_at","junction_location_veh1_approaching","junction_location_veh1_cleared","junction_location_veh1_mid_junction","skidding_and_overturning_veh1_none","vehicle_leaving_carriageway_veh1_did_not","vehicle_leaving_carriageway_veh1_nearside","hit_object_off_carriageway_veh1_none","first_point_of_impact_veh1_no_impact","first_point_of_impact_veh1_front","first_point_of_impact_veh1_back","first_point_of_impact_veh1_offside","first_point_of_impact_veh1_nearside","journey_purpose_of_driver_veh1_work_related","journey_purpose_of_driver_veh1_commute","sex_of_driver_veh1_male","sex_of_driver_veh1_unknown","age_band_of_driver_veh1_16_20","age_band_of_driver_veh1_21_25","age_band_of_driver_veh1_26_35","age_band_of_driver_veh1_36_45","age_band_of_driver_veh1_46_55","age_band_of_driver_veh1_56_65","age_band_of_driver_veh1_66_75","age_band_of_driver_veh1_over_75","casualty_class_cas1_driver_rider","casualty_class_cas1_passenger","casualty_class_cas1_pedestrian","sex_of_casualty_cas1_male","sex_of_casualty_cas1_female","age_band_of_casualty_cas1_0_5","age_band_of_casualty_cas1_6_10","age_band_of_casualty_cas1_11_15","age_band_of_casualty_cas1_16_20","age_band_of_casualty_cas1_21_25","age_band_of_casualty_cas1_26_35","age_band_of_casualty_cas1_36_45","age_band_of_casualty_cas1_46_55","age_band_of_casualty_cas1_56_65","age_band_of_casualty_cas1_66_75","age_band_of_casualty_cas1_over_75","pedestrian_location_cas1_not_pedestrian","pedestrian_location_cas1_using_crossing","pedestrian_location_cas1_not_using_crossing","pedestrian_location_cas1_in_carriageway_crossing","pedestrian_location_cas1_footway_verge","pedestrian_location_cas1_in_carriageway_not_crossing","bus_passenger_cas1_not_passenger","bus_passenger_cas1_boarding","bus_passenger_cas1_alighting","bus_passenger_cas1_standing","bus_passenger_cas1_seated","casualty_type_cas1_pedestrian","casualty_type_cas1_cyclist","casualty_type_cas1_taxi","casualty_type_cas1_car","casualty_type_cas1_bus","casualty_type_cas1_motorcylces","age_band_of_casualty_cas1_under_10","age_band_of_casualty_cas1_11_20","age_band_of_casualty_cas1_over_65","age_band_of_driver_veh1_over_65","age_band_of_driver_veh1_16_25"
"accident_severity",1,-0.056720207289766,-0.0309896721090301,-0.0308560882537037,0.0716045880455755,0.00200756447076123,-0.00266364479821383,-0.0122059719337352,0.0330985585450208,-0.0330985585450228,-0.00697614900658553,-0.0325916205012017,0.014312540087066,0.0143098987381869,-0.00103748584058479,0.0589930220797357,-0.0373587374248364,-0.0372060678241135,0.056106505890504,-0.0484265348536665,-0.00264433538443075,-0.000780037214570365,0.021598035898493,-0.0181006354307524,-0.00424561591098482,0.0456795826220201,0.0264728660417222,-0.0144092849713246,0.0128417417684888,0.052692567271687,-0.000940986910046739,0.0475365847526585,0.0280051974406057,-0.0715147183388361,0.0080455632327679,-0.00776275055590114,0.0114709681862517,0.0149611061225973,-0.0497240267762928,-0.000638127335448396,-0.0316227366870443,0.00277967363593624,-0.0466352325246209,0.0343522686385336,-0.0644806809636246,-0.00204207739468438,0.0466840096159758,0.0171687417772886,-0.0337296581018529,-0.0348120699985569,-0.0609000204882635,0.0340133131949478,0.00787299352828409,-0.0112775487038944,0.00760554707612613,-0.00514281225389168,-0.00600106415647851,0.0116470369116169,-0.00718263312562415,-0.00755481296288376,0.048028117246159,0.0692871017756717,-0.0852543023832657,-0.0383012932829998,0.0383012932829998,0.00996550977216,0.0157493365446921,0.0330632581811046,0.0355859781281977,0.0456692288006424,0.0414619781355917,0.0265453905956954,0.013004736002114,-0.0625364788739577,-0.107428258147667,-0.109457479808489,0.0852543023832657,-0.0654576655222403,-0.0441665319979714,0.0309634166429485,-0.0040627110860261,-0.0341596322592671,-0.0115652802250288,-0.00581100378722772,0.00337372909022716,1.73385182169258e-05,0.020234050758974,-0.0852543023832657,-0.000887604281883431,0.0550727128669938,0.0743513370670875,0.0161342490644732,-0.00774767204173669,0.0190728181525042,0.051777668077955,-0.158780993158431,-0.0104664879320686,-0.00432080846005836
"first_road_class_A",-0.056720207289766,1,-0.142692988087887,-0.0118762193264121,-0.862286000474382,-0.109177848483315,0.272911929526408,-0.171057799636475,-0.0445611764674841,0.044561176467484,0.0284787435053795,-0.0530434299579155,0.00599043967413994,-0.0324401430763565,0.02458763679826,-0.126859878505434,0.106706665101137,0.0667729941231305,-0.0303074881023989,0.0488000900710265,0.00350385898043402,-0.000265689053590345,-0.000612742805920337,0.00689359914180684,-0.020999209339318,-0.00779200655345485,-0.00214333712911141,-0.00785277646715259,-0.0553473239457298,0.0195917970612223,0.000241026007099412,-0.0237737961229226,-0.0692156968911122,0.0783284882193424,-0.000860365811182051,0.0274961388548483,-0.0255494030921452,-0.0198241139734069,0.00982437352857111,-0.00259847758702641,0.0147506932100901,-0.0239955420533143,0.00932025366620767,0.00447744926957756,0.00796017283978431,-0.055190940504104,0.0364349738166911,-0.00881137484787388,0.0120197064076486,0.0190607143275161,0.019152022437089,-0.0441547347177891,-0.0139594791416669,-0.0115460849600821,-0.0252611748363632,0.00916591055654613,0.0110967336080046,0.0154080038750868,0.001180741133935,0.0192461127714148,0.0230587029386427,-0.00732094648031752,-0.0133936586851484,0.0323481025523844,-0.0323481025523844,-0.0225915339271406,-0.0944045555990398,0.0288688647661305,-0.0286851654017534,0.0377519159927228,0.00249714391043539,-0.0039681243085908,0.0164386482552878,0.0341386193329985,-0.000610425093618274,0.0154466247651973,0.0133936586851484,0.0730159653553839,0.0875675255253729,-0.0822875385109577,-0.0536530879084008,-0.0471446743891132,-0.0317550736645973,-0.00950542405023357,0.0343412231375293,0.0062033320870795,0.0289131757716473,-0.0133936586851484,-0.0132967822123436,0.00978122588825522,-0.0235881337126238,0.0337847879010895,0.0330044277763457,-0.09401774259605,0.00073916651077588,0.0112289051572157,0.0129783530567207,-0.0183622673196666
"first_road_class_B",-0.0309896721090301,-0.142692988087887,1,-0.00515444784426642,-0.374244369704562,-0.0662237371334076,0.0383910828756749,-0.00122415782294233,-0.0193401834092081,0.0193401834092079,-0.0281563132458969,-0.0347660996485011,0.0354907879539088,-0.00727258116361285,-0.0378551716132467,-0.0388293445390786,-0.00139863492385278,0.0485705832306717,-0.0226236019675189,0.00155416729057541,-0.0496122033809113,0.00953702103395,-0.0447378750170194,0.0360369234514888,0.0165425221875195,-0.0180459941931159,0.0369118948271722,-0.0638627568282983,-0.056223085986209,-0.0145971158681393,0.00033152657595791,-0.00551351144070986,0.0132126505596598,0.0261619652560022,0.0470847447016746,-0.0285845669197427,-0.000408305618581158,0.0554635426590886,-0.0236148458514692,-0.0197989914571426,0.00572308224713088,0.0114701049106455,0.00268011973258559,0.0100232120080448,0.0251910121540785,-0.0549232558513517,0.00273828344781659,-0.00564688583217078,-0.0274873208388628,0.0439751778458785,-0.0280088549763664,0.01728709278202,0.0214632672006612,-0.000394109388593242,-0.00679516923440879,0.00217778377237587,0.0125002996319339,-0.0147761177537703,-0.00126827178840263,-0.0133943421189085,0.00619029921198451,-0.0157445477395735,0.00575348960748279,0.00409956260131399,-0.00409956260131397,-0.0105024372766106,0.00385543682785378,-0.0190031868589594,0.0336772690610897,-0.00137410211249769,-0.00665060056661129,-0.0118735197498262,-0.0165226075459019,0.00527973105523789,0.0151376610446348,0.0130007014562659,-0.00575348960748279,0.0393013812790133,-0.0157050559748832,-0.0254098380929176,0.000986833470819184,-0.0178442311377784,0.0242038649009917,-0.012639330096382,-0.0146009198826358,-0.0219486524449442,-0.00104005052435167,0.00575348960748279,0.0197939726434794,-0.0106336039853263,-0.00428531789812823,-0.0237001901330387,0.0304938801743049,-0.00240704863805091,0.0105236449242564,0.0205445605991534,-0.00938929866950133,0.0132610453965241
"first_road_class_C",-0.0308560882537037,-0.0118762193264121,-0.00515444784426642,1,-0.0311480492198296,-0.00701541947438474,-0.0100163408714996,0.0140095573187632,-0.00160966746200118,0.00160966746200116,0.0202034316604008,-0.0112465486790407,-0.00818523572383832,-0.00515444784426643,0.00309707204849591,0.0159777198933175,-0.010141979687544,-0.00893670967208045,0.0158024260044817,-0.0149530978573846,0.0128620192030864,-0.0100582614119571,0.017836646243449,-0.01689945899025,-0.00192641542130374,-0.00701541947438475,0.0131645284407161,-0.00639571424312428,-0.00584475365368442,-0.00550757330107371,-0.00671837316822562,-0.0042916923316783,-0.00643016398756324,0.0198594543042388,0.00615104182098209,0.020168784182529,-0.0110406792212946,-0.00740040621944678,-0.00632644845153174,0.00560270249903654,0.00609776209824141,-0.00469570189414257,0.00656679088362435,-0.00656679088362436,-0.020747883199951,-0.00575252014832206,-0.00821525350010748,0.0413913737944877,-0.0130819319590958,-0.00761993104972725,-0.0310228434830118,-0.00541121923381914,-0.00495007047094257,-0.00675176890505691,-0.0123412466802145,-0.0109031938876609,-0.010141979687544,0.0576014293767029,-0.00410165164724079,-0.0031586000321031,-0.00673508381822033,-0.00556479357376818,0.00913862285996798,-0.0247173331266243,0.0247173331266243,-0.00358959216287506,-0.00597218653251339,-0.00736875871658485,-0.00711277817672032,-0.00708041199650716,0.0494549850798061,-0.00758877801447502,-0.00724140687407737,-0.00560270249903657,-0.00519457588231315,-0.00558377148884038,-0.00913862285996798,-0.00780548679449183,-0.00749490987406934,0.023347957670975,-0.00440696666032826,-0.00529387888540095,0.00306588630415157,-0.00105196098543463,-0.00121522248021564,-0.00182676818145249,-0.0018267681814526,0.00913862285996798,-0.00113649205665506,-0.00228331926812992,-0.00693367656294952,-0.0030344078101371,-0.00293812092404541,-0.00712892934145412,-0.0109307082404698,-0.00789743085055876,-0.00525432861431022,-0.00870384323495157
"first_road_class_Unclassified",0.0716045880455755,-0.862286000474382,-0.374244369704562,-0.0311480492198296,1,0.136465196946215,-0.276397468688817,0.161457040937754,0.051677954232087,-0.0516779542320864,-0.0141564655592668,0.0683219449517651,-0.0229094492502965,0.0345191385421761,-0.00404921364921451,0.137025319077738,-0.0982425943992199,-0.086374723778481,0.0384433974235202,-0.0451179122115939,0.0207811818177582,-0.00369527439296014,0.0217096944410484,-0.023249700804443,0.0114179196720466,0.0170942438832336,-0.017936801283519,0.0403818458682236,0.0808985231742177,-0.010421911185183,0.000209264218121131,0.025436984026571,0.0586394465447325,-0.0883860464235268,-0.0236780216618641,-0.0130160976871311,0.0251100927976058,-0.00897185879037159,0.00337598997478395,0.0119915535415932,-0.0172611818544698,0.0170488651768971,-0.0106744963288312,-0.0086949178370358,-0.018389842980044,0.0800832457572174,-0.0347526024162814,0.00739929885682884,0.00183640233334644,-0.0395045686655648,-0.00291636179937313,0.0330231457056378,0.00260016810111751,0.00845616946027604,0.0282032672354773,-0.00870587270960245,-0.015827665010615,-0.00916200745730783,-9.20856341580553e-05,-0.0109206494484921,-0.0241214801063448,0.0153534079945816,0.00878991487189378,-0.0301377230741467,0.0301377230741467,0.0268031046085625,0.086927779861853,-0.0166975711834682,0.0103680377407621,-0.033996889108278,-0.00339807750689461,0.0104298912014183,-0.00633661816751532,-0.0341298062337658,-0.00665594655606537,-0.0205622971720232,-0.00878991487189378,-0.0876078860497023,-0.0732972019478451,0.0878287834611502,0.0501068543962741,0.0536663254926171,0.0171418726087814,0.0154143130989429,-0.0246090836587962,0.00551390665434396,-0.0263664990925926,0.00878991487189378,0.00248591256519646,-0.00354443546521896,0.0248762566637998,-0.0193002536992996,-0.0461227292378321,0.0898525599975699,-0.00505879794990279,-0.0202414270499726,-0.00690216245395964,0.00862255392662211
"road_type_one_way",0.00200756447076123,-0.109177848483315,-0.0662237371334076,-0.00701541947438474,0.136465196946215,1,-0.163796649284751,-0.500759539702877,0.0284850299185612,-0.0284850299185613,-0.127011019558539,-0.022374491902622,0.15516997206052,0.0963761452900857,0.0120491713089566,-0.132668563371114,0.030675732607169,0.152603405432889,-0.0400876363908908,0.0409483519241116,-0.00380260997520579,0.0150929335220128,-0.0137126605829435,0.0261678186169683,-0.000892572566868126,0.0710643722115965,-0.11205084067602,0.0856459921197482,0.0772040595958003,0.0122231113677201,0.0488207172390912,0.0363702553108394,0.0643052134274608,-0.110298402867459,0.0126754612392789,-0.124774247086335,0.0574416607834796,0.0393309863585681,0.093552342359269,0.0636254676826277,0.0424151914056828,-0.0309736248764538,0.0681962177292035,-0.00451224358311729,-0.0316292050697116,0.0756038729376624,-0.0190426007441733,0.0103617482157509,0.0924019202109058,-0.0418573312713246,0.0336060661853004,0.0326935516098579,-0.0122814295595244,0.00932416777590995,0.0228460217964661,-0.0105299952412485,-0.0157760910551154,0.0289048010318122,-0.0226375002286264,-0.0232435825364717,-0.066947379353715,-0.0234167537545013,0.0691962162030197,0.017215427888598,-0.017215427888598,-0.0251490909258892,-0.0711556427822241,-0.0713423524812307,-0.0060521550379681,0.0502053834173331,0.0561847669836938,0.0244450759468923,0.0310731516502636,-0.00763505612191521,-0.019154022511417,0.00415137998547447,-0.0691962162030197,0.124686357216777,0.0274028519157569,-0.0588315619677501,0.038863786012366,0.00166481728029869,0.0111636746386256,-0.0172026578171629,0.00426429950270133,-0.013747128406118,0.0023787787584025,0.0691962162030197,0.00721274595962413,-0.0114239527013236,-0.0758801736725474,-0.0102618606734101,0.00269828736457952,-0.0753043532601468,-0.0590846016772197,-0.0104422293554222,-0.0326327377510423,-8.13334002947486e-05
"road_type_dual_c",-0.00266364479821383,0.272911929526408,0.0383910828756749,-0.0100163408714996,-0.276397468688817,-0.163796649284751,1,-0.714964837474524,-0.0375826616927448,0.0375826616927447,0.00547971370659112,-0.0329890422771466,-0.00545478452822748,0.0103785655834129,-0.0548601681800896,-0.106561663151368,0.103933024664786,0.0440031502656187,-0.00993130315298201,0.0220394875817371,0.0195534739860003,-0.028800851028103,0.011528407742423,-0.0148501126770866,0.00248295513649435,-0.0413691537296129,0.0318515795195567,-0.0328958342391939,-0.0611164993308491,0.0079798104364547,-0.0040156872659518,-0.00658383921772515,-0.0458067617997267,0.0387932690443643,0.0193336590181338,0.00465017138648667,0.0189746664749321,-0.00358340667694197,0.00110499901508536,-0.0254521874745566,-0.0151286180230879,-0.0132290404972594,-0.0175786329066468,-0.0355904616955586,0.0385582514466204,-0.0579317377115068,0.0220813272576001,-0.00413842234437106,-0.0364513959187184,0.0787014684332362,-0.0111897763532093,-0.014499226984304,0.010251723529988,-0.0128331624718983,0.0104327056879445,-0.0236388852977114,0.0125179579618887,0.00135264859503047,0.00184164873369991,-0.000333698097866806,0.0287712881895751,-0.00330650516645091,-0.0206661901963706,-0.05481873645154,0.05481873645154,-0.0382912100120386,-0.0490199521688778,0.0566158851239525,0.0227022527402828,-0.000882917828173326,-0.0182973128090155,0.0158778425150822,-0.011035799307492,-0.0136139607422043,0.0363715074476928,-0.0215354969168351,0.0206661901963706,0.0763721049286142,0.0609524097468347,-0.0829872670861599,-0.0330196479083595,-0.0597574408515144,-0.00395161815183681,0.0186339728867016,-0.00966098471074579,0.00735519421372225,-0.0051464915781144,-0.0206661901963706,0.0134647135009298,0.0069611191372509,0.00530223688000099,-0.00219170334360663,0.0336856945814564,-0.0633411105797373,0.060208812332171,0.00952166421330057,0.00126375313570565,-0.00409851670930002
"road_type_single_c",-0.0122059719337352,-0.171057799636475,-0.00122415782294233,0.0140095573187632,0.161457040937754,-0.500759539702877,-0.714964837474524,1,0.0166806999886715,-0.0166806999886714,0.118502254991963,0.0631903324593095,-0.0787314666541407,-0.064312247173257,0.0315347736284862,0.154594997547244,-0.0922573045927219,-0.127305679873245,0.0300431719001931,-0.041274642909726,-0.00354008859219114,0.0110113648036395,0.00617356221975789,-0.010283154911606,-0.00723631798203415,-0.00506497409428662,0.039551368225392,-0.0205829841054672,0.0105694100614207,-0.0210605205423023,-0.0324780666235466,-0.0226324869767518,-0.00539026443296191,0.0432471459305938,-0.0281904652770092,0.117819376235328,-0.053493353151097,-0.00913414711349994,-0.0679186745119573,0.00766513379317987,0.0089216046115147,0.0119297071490541,-0.0123786047902371,0.0284157749962557,-0.00623203754982235,0.00867329838002058,-0.0148173251306288,-0.00556841919415399,-0.0148598390453081,-0.0334709764227428,-0.0133852792973985,-0.015981499651874,-0.0100111654840702,0.00725061824005687,-0.0298624841288205,0.0399708430303528,-0.00101527177302969,-0.0179645226976157,0.0078683348453813,0.0101457168282016,-0.0157159724101196,0.00472482366042705,0.00930834146603179,0.0319734589605057,-0.0319734589605056,0.0513202650602613,0.101310254411947,0.000702646159355067,-0.0234093057029848,-0.0344458209418507,-0.0227302861845728,-0.0210688292460348,-0.021565932726291,0.0216623346328993,-0.0222539977874105,0.0132183553977521,-0.00930834146603179,-0.137127230307395,-0.0555889551716037,0.127256619001855,-0.00588648149295532,0.0457811602069684,-0.00443156027320857,-0.00212751627876671,0.00807788503913096,0.00686381768826152,-0.00369450872930201,0.00930834146603179,-0.0304499565232199,0.00669394343397068,0.00848743283584456,0.00889588877042677,-0.0435972273239805,0.115699116773043,-0.016883273347889,-0.00579429090463551,0.0126347692659697,-0.000355016549953515
"speed_limit_20",0.0330985585450208,-0.0445611764674841,-0.0193401834092081,-0.00160966746200118,0.051677954232087,0.0284850299185612,-0.0375826616927448,0.0166806999886715,1,-1,-0.0352504091439933,0.0372260161763472,0.0180094131353177,0.00434747820333091,-0.0642878099638528,0.0599505596979611,-0.0380540754734306,-0.033531739840017,0.0362707076036371,-0.0327126399574154,0.011100975548804,-0.00948647941133838,0.0107931934678281,-0.00674522993076542,-0.00722817044541166,0.0102157533041255,0.0248710620364084,-0.023997582327369,-0.0219303038965928,0.00168695165253141,0.0315346349377597,-0.0161030083800115,0.0150813781501925,-0.0366048678785165,0.0027388416700678,-0.0353853156593864,0.038811179679259,0.0247922518832027,-0.00386823770006964,0.0210220953228084,0.00238988409767029,0.00812500962476147,0.0246394849528814,-0.0246394849528815,0.022071140840495,-0.021584231346421,0.0339641671178081,-0.0250178898665376,-0.0367901542663619,-0.0114599110603409,-0.00821648287693454,0.0250923985705558,0.00598052865297827,0.0123436417345739,0.0168139471289414,-0.0139755525420784,-0.00994444481012967,0.00692268537948784,-0.0153899501042699,-0.011851493270061,-0.0252709427384497,0.0012729302519048,0.019258752613737,-0.0250859997821175,0.0250859997821175,0.0195238600154028,0.061001772040813,0.0250857312689951,0.00945397373525887,-0.0265666606322417,-0.0169688545497694,-0.0284741184868105,-0.00935235652176045,-0.0210220953228082,0.00403535180525558,0.00113658572981712,-0.019258752613737,-0.029287239053461,-0.0281219125655213,0.042876907495007,0.0107352330151235,0.00327417815577488,0.0115036188599777,-0.00394709947841837,-0.00455967862328969,-0.0068542805636689,-0.00685428056366887,0.019258752613737,-0.00426427145698376,0.0423995007873995,-0.0260160894976815,-0.0113855073054369,-0.011024225924156,0.0634450180118735,0.0262274126459213,0.00371832946101273,-0.0197149495277269,0.0139696233698266
"speed_limit_30",-0.0330985585450228,0.044561176467484,0.0193401834092079,0.00160966746200116,-0.0516779542320864,-0.0284850299185613,0.0375826616927447,-0.0166806999886714,-1,1,0.0352504091439933,-0.0372260161763472,-0.0180094131353178,-0.00434747820333081,0.0642878099638528,-0.0599505596979611,0.0380540754734307,0.0335317398400166,-0.036270707603636,0.0327126399574148,-0.0111009755488039,0.00948647941133801,-0.0107931934678286,0.00674522993076538,0.0072281704454116,-0.0102157533041255,-0.0248710620364085,0.0239975823273688,0.0219303038965928,-0.00168695165253164,-0.0315346349377598,0.0161030083800115,-0.0150813781501928,0.0366048678785204,-0.00273884167006809,0.0353853156593861,-0.0388111796792594,-0.0247922518832028,0.00386823770006939,-0.0210220953228083,-0.0023898840976702,-0.00812500962476158,-0.0246394849528815,0.0246394849528816,-0.0220711408404965,0.0215842313464209,-0.0339641671178082,0.0250178898665375,0.0367901542663658,0.0114599110603409,0.00821648287693443,-0.025092398570556,-0.00598052865297836,-0.012343641734574,-0.0168139471289415,0.0139755525420784,0.00994444481013081,-0.00692268537948808,0.0153899501042698,0.0118514932700609,0.0252709427384493,-0.00127293025190482,-0.0192587526137364,0.0250859997821173,-0.0250859997821173,-0.0195238600154027,-0.061001772040813,-0.0250857312689954,-0.00945397373525909,0.0265666606322414,0.0169688545497693,0.0284741184868103,0.00935235652176016,0.0210220953228081,-0.00403535180525574,-0.00113658572981724,0.0192587526137364,0.0292872390534615,0.028121912565521,-0.042876907495007,-0.0107352330151236,-0.00327417815577457,-0.0115036188599777,0.00394709947841833,0.00455967862328964,0.00685428056366883,0.0068542805636688,-0.0192587526137364,0.00426427145698374,-0.0423995007873996,0.0260160894976826,0.0113855073054368,0.0110242259241559,-0.0634450180118736,-0.0262274126459217,-0.00371832946101271,0.0197149495277266,-0.0139696233698267
